Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered
34,0,8,26,4,0,0
15,0,11,4,0,0,0
2,0,1,1,1,0,0
18,2,11,5,4,1,0
192,3,22,167,19,0,0
22,0,18,4,0,0,0
3,1,1,1,0,0,0
1261,12,22,1227,284,2,0
13,0,2,11,7,0,0
32,1,5,26,1,0,0
40,0,22,18,3,0,0
15,0,6,9,0,0,0
13,0,4,9,0,0,0
37,0,8,29,3,0,0
15,0,11,4,0,0,0
2,0,1,1,0,0,0
38,2,11,25,20,0,0
245,26,49,170,106,7,0
218,4,22,192,26,1,0
23,0,18,5,1,0,0
3,1,1,1,0,0,0
93,0,62,31,0,0,0
1766,13,22,1731,505,1,0
15,0,2,13,2,0,0
32,1,5,26,0,0,0
40,0,22,18,0,0,0
16,0,6,10,1,0,0
13,0,4,9,0,0,0
44,0,8,36,7,0,0
15,0,11,4,0,0,0
2,0,1,1,0,0,0
57,2,11,44,19,0,0
48,0,16,32,2,0,0
4,0,1,3,1,0,0
236,5,22,209,18,1,0
23,0,18,5,0,0,0
3,1,1,1,0,0,0
93,0,62,31,0,0,0
2337,13,22,2302,571,0,0
32,0,2,30,17,0,0
56,0,8,48,12,0,0
25,0,11,14,10,0,0
3,0,1,2,1,0,0
79,0,16,63,31,0,0
7,0,1,6,3,0,0
1128,29,46,1053,240,8,0
25,0,18,7,2,0,0
3,1,1,1,0,0,0
45,0,2,43,13,0,0
42,0,28,14,1,0,0
24,1,7,16,8,1,0
21,0,5,16,2,0,0
61,0,8,53,5,0,0
27,1,11,15,2,1,0
2,0,1,1,1,0,0
2,0,1,1,1,0,0
6,0,1,5,3,0,0
130,2,12,116,30,0,0
130,0,16,114,51,0,0
10,0,1,9,3,0,0
259,6,32,221,14,0,0
29,0,18,11,4,0,0
6,0,1,5,0,0,0
3,1,1,1,0,0,0
106,0,72,34,4,0,0
84,0,2,82,39,0,0
40,1,9,30,1,0,0
42,1,28,13,0,1,0
30,1,7,22,6,0,0
21,0,5,16,0,0,0
94,0,8,86,33,0,0
30,1,11,18,3,0,0
8,0,1,7,6,0,0
2,0,1,1,0,0,0
6,0,1,5,0,0,0
191,3,12,176,61,1,0
159,0,16,143,29,0,0
5,0,3,2,2,0,0
10,0,1,9,0,0,0
278,6,32,240,19,0,0
29,0,18,11,0,0,0
6,0,1,5,0,0,0
3,1,1,1,0,0,0
3,0,2,1,1,0,0
4335,28,30,4277,599,11,0
120,0,2,118,36,0,0
53,6,7,40,23,5,0
21,0,5,16,0,0,0
134,0,8,126,40,0,0
39,1,11,27,9,0,0
13,0,1,12,5,0,0
2,0,1,1,0,0,0
6,0,1,5,0,0,0
204,4,12,188,13,1,0
196,0,16,180,37,0,0
5,0,3,2,0,0,0
2336,77,291,1968,835,11,0
12,0,1,11,2,0,0
3,1,1,1,0,0,0
3,0,2,1,0,0,0
10,1,0,9,2,1,0
110,0,78,32,2,0,0
5186,28,30,5128,851,0,0
165,1,2,162,45,1,0
42,1,12,29,1,0,0
43,1,31,11,0,0,0
73,7,7,59,20,1,0
27,0,5,22,6,0,0
189,0,8,181,55,0,0
52,2,11,39,13,1,0
23,0,1,22,10,0,0
2,0,1,1,0,0,0
6,0,1,5,0,0,0
288,4,12,272,84,0,0
262,0,16,246,66,0,0
28,0,3,25,23,0,0
35,2,0,33,3,2,0
15,0,1,14,3,0,0
333,7,43,283,35,1,0
50,0,22,28,14,0,0
5,0,1,4,0,0,0
15,0,2,13,3,0,0
3,1,1,1,0,0,0
3,0,2,1,0,0,0
16,1,0,15,6,0,0
110,0,78,32,0,0,0
222,2,2,218,57,1,0
42,1,12,29,0,0,0
43,1,31,11,0,0,0
104,11,7,86,31,4,0
27,0,5,22,0,0,0
246,0,8,238,57,0,0
50,0,1,49,27,0,0
3,0,1,2,1,0,0
12,0,1,11,6,0,0
380,6,12,362,92,2,0
482,0,16,466,220,0,0
30,0,3,27,2,0,0
35,2,0,33,0,0,0
20,0,1,19,5,0,0
365,7,43,315,32,0,0
16,0,1,15,3,0,0
50,0,22,28,0,0,0
5,0,1,4,0,0,0
16,0,2,14,1,0,0
3,1,1,1,0,0,0
6,0,1,5,2,0,0
4,0,2,2,1,0,0
21,1,0,20,5,0,0
117,0,78,39,7,0,0
6088,35,41,6012,467,0,0
259,3,2,254,37,1,0
114,1,3,110,24,1,0
44,1,12,31,2,0,0
47,1,31,15,4,0,0
174,12,7,155,70,1,0
29,0,5,24,2,0,0
295,0,8,287,49,0,0
60,2,21,37,5,0,0
109,0,1,108,59,0,0
15,0,1,14,12,0,0
15,0,1,14,3,0,0
656,9,12,635,276,3,0
31,0,3,28,1,0,0
40,3,0,37,5,1,0
22,0,1,21,6,0,0
83,0,22,61,33,0,0
6,0,1,5,1,0,0
128,1,0,127,46,1,0
16,0,2,14,0,0,0
5,1,1,3,2,0,0
9,0,1,8,3,0,0
13,0,2,11,9,0,0
21,1,0,20,0,0,0
130,0,78,52,13,0,0
400,5,2,393,141,2,0
214,1,3,210,100,0,0
45,1,12,32,1,0,0
48,1,31,16,1,0,0
222,14,7,201,48,2,0
29,0,5,24,0,0,0
374,1,8,365,79,1,0
63,2,21,40,3,0,0
85,0,4,81,25,0,0
169,0,1,168,60,0,0
24,0,1,23,0,0,0
15,0,1,14,0,0,0
15,0,1,14,0,0,0
959,11,12,936,303,2,0
34,0,3,31,3,0,0
54,4,0,50,14,1,0
43,0,2,41,6,0,0
22,0,1,21,0,0,0
6,0,1,5,0,0,0
188,1,0,187,60,0,0
16,0,2,14,0,0,0
6,1,1,4,1,0,0
13,0,2,11,0,0,0
23,1,0,22,2,0,0
138,0,78,60,8,0,0
7041,44,135,6862,448,2,0
268,1,3,264,54,0,0
45,1,12,32,0,0,0
50,1,31,18,2,0,0
337,17,7,313,115,3,0
18,0,16,2,2,0,0
12,1,0,11,4,1,0
76,3,21,52,13,1,0
85,0,4,81,0,0,0
200,0,1,199,31,0,0
2,0,1,1,1,0,0
37,0,1,36,13,0,0
49,1,1,47,34,1,0
23,0,1,22,8,0,0
1136,19,12,1105,177,8,0
1040,0,18,1022,241,0,0
39,0,3,36,5,0,0
60,6,0,54,6,2,0
61,0,2,59,18,0,0
499,8,76,415,33,1,0
32,0,1,31,10,0,0
7,0,1,6,1,0,0
265,3,0,262,77,2,0
16,0,2,14,0,0,0
6,0,1,5,0,0,0
10,1,1,8,4,0,0
15,0,3,12,6,0,0
36,1,0,35,13,0,0
150,0,78,72,12,0,0
673,17,30,626,173,7,0
337,2,3,332,69,1,0
50,1,31,18,0,0,0
451,21,7,423,114,4,0
45,0,7,38,0,0,0
483,2,18,463,54,0,0
30,0,16,14,12,0,0
12,1,0,11,0,0,0
91,3,21,67,15,0,0
239,0,1,238,39,0,0
2,0,1,1,0,0,0
77,1,0,76,13,1,0
92,0,1,91,55,0,0
55,1,1,53,6,0,0
30,0,1,29,7,0,0
1219,19,12,1188,83,0,0
1176,2,18,1156,136,2,0
43,0,3,40,4,0,0
61,0,2,59,0,0,0
527,10,76,441,28,2,0
64,0,1,63,0,0,0
32,0,1,31,0,0,0
117,0,24,93,18,0,0
7,0,1,6,0,0,0
321,3,0,318,56,0,0
16,0,2,14,0,0,0
16,0,1,15,10,0,0
20,1,1,18,10,0,0
15,0,3,12,0,0,0
17,0,3,14,0,0,0
36,1,0,35,0,0,0
4,0,1,3,0,0,0
150,0,78,72,0,0,0
7478,53,118,7307,164,3,0
374,2,3,369,37,0,0
50,1,31,18,0,0,0
519,22,7,490,68,1,0
45,0,7,38,0,0,0
630,3,18,609,147,1,0
